Match_id,Team1,Team2,Format,Ground,Year,Toss,Selection,fi_score,fi_wickets,fi_4s,fi_6s,fi_extra,fi_run_rate,fi_avg_str_rate,fi_max_score,fi_max_indv_wickets,PlayerOfTheMatch,Result,si_score,si_wickets,si_4s,si_6s,si_extras,si_run_rate,si_avg_str_rate,si_max_score,si_max_indv_wickets
1,Pakistan,Sri Lanka,ODI,Sharjah,1984,Sri Lanka,Bowling,187,9,9,3,21,4.06,52.04,47,2,Roy Dias,Sri Lanka,190,5,11,1,26,4.36,68.51,57,3
2,India,Sri Lanka,ODI,Sharjah,1984,India,Bowling,97,0,9,0,14,4.47,60.48,51,3,Surinder Khanna,India,96,10,7,0,8,2.34,25.74,38,0
3,India,Pakistan,ODI,Sharjah,1984,India,Batting,188,4,13,3,17,4.08,60.21,56,3,Surinder Khanna,India,134,10,5,0,5,3.37,39.46,35,1
4,Sri Lanka,Pakistan,ODI,Colombo(PSS),1986,Sri Lanka,Bowling,116,10,10,0,14,3.42,37.87,34,3,Mohsin Khan,Pakistan,197,10,14,3,15,4.37,65.14,39,3
5,Bangladesh,Pakistan,ODI,Moratuwa,1986,Pakistan,Bowling,94,10,0,0,9,2.64,24.63,37,2,Wasim Akram,Pakistan,98,3,4,0,5,3.04,36.79,47,4
6,Sri Lanka,Bangladesh,ODI,Kandy,1986,Bangladesh,Bowling,132,3,0,0,19,4.19,46.07,44,2,Asanka Gurusinha,Bangladesh,131,8,0,0,10,2.91,47.03,40,1
7,Sri Lanka,Pakistan,ODI,Colombo(SSC),1986,Sri Lanka,Bowling,195,5,15,1,9,4.6,62.09,57,4,Javed Miandad,Sri Lanka,191,9,11,4,14,4.24,70.13,67,3
8,Pakistan,Sri Lanka,ODI,Dhaka,1988,Sri Lanka,Bowling,194,7,5,0,7,4.4,74.43,54,2,Roshan Mahanama,Sri Lanka,195,5,10,0,18,5.02,73.08,55,3
9,Bangladesh,India,ODI,Chattogram,1988,India,Bowling,99,8,5,0,13,2.2,36.13,22,1,Navjot Sidhu,India,100,1,7,1,7,3.84,56.7,50,3
10,India,Sri Lanka,ODI,Dhaka,1988,India,Bowling,254,10,14,4,5,5.77,97.52,50,2,Aravinda de Silva,Sri Lanka,271,6,12,2,13,6.02,106.61,69,4
11,Bangladesh,Pakistan,ODI,Chattogram,1988,Pakistan,Batting,111,6,0,0,15,2.46,31.02,22,1,Moin ul Atiq,Pakistan,284,3,9,4,23,6.31,76.52,124,3
12,India,Pakistan,ODI,Dhaka,1988,India,Bowling,143,6,8,0,19,3.51,38.29,74,5,Arshad Ayub,India,142,10,7,0,17,3.35,47.42,38,3
13,Bangladesh,Sri Lanka,ODI,Dhaka,1988,Sri Lanka,Bowling,118,8,0,0,12,2.62,30.28,30,1,Brendon Kuruppu,Sri Lanka,120,1,0,0,7,3.89,59.78,58,4
14,India,Sri Lanka,ODI,Dhaka,1988,India,Bowling,180,4,10,3,12,4.84,62.06,76,3,Navjot Sidhu,India,176,10,8,1,18,4.06,54.48,36,2
15,India,Bangladesh,ODI,Chandigarh,1990,Bangladesh,Batting,171,1,12,3,12,4.64,63.78,104,2,Navjot Sidhu,India,170,6,11,0,29,3.4,46.26,57,1
16,India,Sri Lanka,ODI,Cuttack,1990,Sri Lanka,Batting,178,10,9,0,13,3.88,51.31,40,3,Arjuna Ranatunga,Sri Lanka,214,10,2,1,32,4.33,46.93,53,3
17,Bangladesh,Sri Lanka,ODI,Kolkata,1990,Sri Lanka,Batting,178,9,0,0,20,3.95,43.2,78,1,Athar Ali Khan,Sri Lanka,249,4,0,0,15,5.53,81.82,89,2
18,India,Sri Lanka,ODI,Kolkata,1991,India,Bowling,205,3,7,1,2,4.86,73.75,75,4,Mohammad Azharuddin,India,204,9,3,0,21,4.53,55.73,49,1
19,Bangladesh,India,ODI,Sharjah,1995,Bangladesh,Batting,163,10,12,1,11,3.64,66.87,30,1,Manoj Prabhakar,India,164,1,21,1,7,5.89,110.24,56,2
20,Bangladesh,Sri Lanka,ODI,Sharjah,1995,Bangladesh,Bowling,126,10,8,0,12,2.84,36.15,26,4,Arjuna Ranatunga,Sri Lanka,233,10,15,1,10,4.69,70.57,71,4
21,India,Pakistan,ODI,Sharjah,1995,Pakistan,Batting,169,10,11,2,26,3.96,28.93,54,2,Aaqib Javed,Pakistan,266,9,21,5,16,5.32,92.95,88,5
22,Bangladesh,Pakistan,ODI,Sharjah,1995,Bangladesh,Batting,151,8,7,0,14,3.02,29.93,44,1,Wasim Akram,Pakistan,152,4,15,2,7,5.12,79.03,38,2
23,India,Sri Lanka,ODI,Sharjah,1995,Sri Lanka,Batting,206,2,24,1,17,6.21,85.03,112,3,Sachin Tendulkar,India,202,9,15,2,29,4.04,49.64,48,2
24,Pakistan,Sri Lanka,ODI,Sharjah,1995,Sri Lanka,Bowling,178,9,5,3,22,3.56,40.74,73,2,Sanath Jayasuriya,Sri Lanka,180,5,16,2,17,5.83,101.55,48,3
25,India,Sri Lanka,ODI,Sharjah,1995,India,Bowling,233,2,15,2,9,5.56,83.33,90,2,Mohammad Azharuddin,India,230,7,12,3,37,4.6,72.28,85,1
